('段誉', 0.1855095661628135)
('虚竹', 0.11453724536792352)
('萧峰', 0.09822871207888498)
('阿紫', 0.06961327635413678)
('阿朱', 0.06825423191338356)
('乔峰', 0.0678767195687299)
('王语嫣', 0.06485662081150054)
('慕容复', 0.06379958624647025)
('段正淳', 0.05715536898056566)
('木婉清', 0.055418812195158776)
('鸠摩智', 0.04258339247693399)
('游坦之', 0.04031831840901197)
('童姥', 0.03956329371970463)
('南海鳄神', 0.03661869743140601)
('丁春秋', 0.03299457892273077)
('包不同', 0.030427494979085815)
('钟灵', 0.028011415973302325)
('保定帝', 0.02567083943644957)
('段延庆', 0.022801745617081676)
('乌老大', 0.022801745617081676)
('段公子', 0.019177627108406443)
('王夫人', 0.0179695876055147)
('云中鹤', 0.01744107032299956)
('慕容公子', 0.01721456291620736)
('马夫人', 0.01683705057155369)
('钟万仇', 0.016384035757969283)
('叶二娘', 0.01593102094438488)
('巴天石', 0.01578001600652341)
('风波恶', 0.01570451353759268)
('朱丹臣', 0.014647478972562402)
('王姑娘', 0.014571976503631668)
('耶律洪基', 0.0144209715657702)
('李秋水', 0.014118961690047263)
('玄难', 0.013967956752185795)
('表哥', 0.013816951814324328)
('苏星河', 0.013514941938601392)
('玄慈', 0.013363937000739923)
('邓百川', 0.013288434531809189)
('赵钱孙', 0.012986424656086253)
('慕容氏', 0.012155897497848178)
('全冠清', 0.012155897497848178)
('阿碧', 0.011778385153194508)
('镇南王', 0.011627380215333041)
('薛神医', 0.011325370339610105)
('六脉神剑', 0.011174365401748636)
