('段誉', 0.07241930267287655)
('虚竹', 0.06239878651748349)
('萧峰', 0.05510848020872758)
('乔峰', 0.03724634893067534)
('慕容复', 0.03496321936881904)
('说道', 0.033484010414982765)
('王语嫣', 0.03133934735551383)
('武功', 0.028970592743324853)
('段正淳', 0.027142800842306206)
('木婉清', 0.02648829358795272)
('丐帮', 0.024040011268957523)
('鸠摩智', 0.020328225311684645)
('游坦之', 0.01955821677715114)
('阿朱', 0.018133700988264143)
('内力', 0.016466849560748446)
('丁春秋', 0.015939176664843645)
('大理', 0.014915781347462303)
('包不同', 0.014745663436316704)
('阿紫', 0.014514660875956651)
('帮主', 0.014186541233444334)
('星宿', 0.013741705212742006)
('心下', 0.01359065063451644)
('少林', 0.013549503630569386)
('鳄神', 0.01266664039307623)
('心中', 0.012567420844404044)
('童姥', 0.01232013655253615)
('弟子', 0.012228895479071205)
('契丹', 0.011726768101117387)
('南海', 0.011272302795117773)
('乌老大', 0.011011122043829183)
('心想', 0.010972939445700556)
('段延庆', 0.01070311863001578)
('之中', 0.010572566705010531)
('只见', 0.010502380264384142)
('钟灵', 0.010295173747166918)
('少林寺', 0.010272995179999356)
('功夫', 0.009267987815284276)
('段公子', 0.009163101560948761)
('保定', 0.009020478677667065)
('云中鹤', 0.008987956101894947)
('不敢', 0.008658563410769636)
('声音', 0.008603768607276222)
('分节', 0.008491552708933947)
('伸手', 0.008485166760862967)
('少女', 0.008393228295377283)
('脸上', 0.00826360441386754)
('西夏', 0.008260139614254775)
('女子', 0.008251467617745775)
('当下', 0.00812263467585263)
('慕容公子', 0.008046589185875173)
('性命', 0.007959638204786963)
('穴道', 0.007777086198788444)
('两人', 0.007739453606194713)
('钟万仇', 0.007738585772061769)
('巴天石', 0.007700085345335094)
('风波恶', 0.007546083638428391)
('和尚', 0.007541481557034427)
('耶律洪基', 0.007528687943827252)
('只是', 0.007503973783644005)
('当即', 0.007363463133000226)
('跟着', 0.007324728772316641)
('叶二娘', 0.0073150810780683384)
('之极', 0.0072793541820171)
('方丈', 0.007277607039681878)
('姊姊', 0.0072711433409925605)
('马夫人', 0.00724043105417539)
('阿紫道', 0.007238080224614988)
('师兄', 0.007060901590346205)
('王姑娘', 0.0070455780909816105)
('之下', 0.0070447293393226616)
('原来', 0.007017140121072557)
('喝道', 0.006943342767464526)
('这般', 0.006877575458987472)
('身上', 0.006864796509007247)
('玄难', 0.006853075957348233)
('朱丹臣', 0.006814575530621558)
('李秋水', 0.006814575530621558)
('玄慈', 0.006660573823714855)
('苏星河', 0.006506572116808154)
('赵钱孙', 0.006491782284879713)
('胸口', 0.006394743730625261)
('双手', 0.006326080938350906)
('邓百川', 0.006314069983174776)
('小僧', 0.0062842874854284895)
('这位', 0.006213020945454124)
('兵刃', 0.006160489641769347)
('阿朱道', 0.0061215678495413995)
('有人', 0.0060610396618426135)
('地下', 0.006049850050305787)
('右手', 0.006029861716324112)
('出手', 0.006013611795571285)
('恶人', 0.005901713861574892)
('姊夫', 0.00589576936959164)
('公子', 0.005874123363996007)
('正是', 0.005834026675552865)
('阿碧', 0.005813564435727996)
('慕容', 0.005795916900143376)
('女童', 0.005760488918009726)
('不由得', 0.005753540759388426)
('这里', 0.005750070141329265)
('全冠清', 0.005698063155547969)
('王夫人', 0.005668683671835851)
('一掌', 0.005656443608487166)
('之后', 0.005638261276802679)
('这时', 0.00562331322703037)
('姑苏', 0.005532557368690863)
('慕容氏', 0.005489000365259089)
('难道', 0.005439346276065827)
('汉子', 0.005429432635081028)
('镇南王', 0.005390059741734565)
('慕容博', 0.005372069557308943)
('段誉心', 0.005313058888281214)
('表哥', 0.005280232490105182)
('徐长老', 0.005197557608101188)
('江湖', 0.00516513028937841)
('大哥', 0.005142855937135035)
('这些', 0.0050884797560750055)
('手中', 0.005083117506436895)
('钟夫人', 0.005082056327921161)
('阅读', 0.005067730250531319)
('声道', 0.005059227598957553)
('天下', 0.005027004451425462)
('起来', 0.005026466574154455)
('自然', 0.0050003257062981865)
('不住', 0.0049832814824978255)
('解药', 0.004968735255446845)
('一惊', 0.004963540869472288)
('声响', 0.004954290746340376)
('一般', 0.004945956523117581)
('灵鹫', 0.004926959055855206)
('武士', 0.0049021251837493805)
('此刻', 0.004891492569493478)
('已然', 0.004874070597345915)
('过去', 0.004869898815005313)
('对方', 0.004855360327750894)
('出去', 0.004844980929764324)
('神医', 0.004802807464272004)
('秦红棉', 0.004735552487381082)
('一人', 0.00472253624098525)
('长剑', 0.004718162176152137)
('女郎', 0.004717437862522173)
('高僧', 0.004715177629118547)
('哪里', 0.004697266307187852)
('微笑', 0.004689210146290683)
('点头', 0.004681696961562815)
('本来', 0.004679347593009371)
('不肯', 0.0046428705713561875)
('大叫', 0.004638308827181862)
('摇头', 0.004600449180012109)
('不错', 0.004583729277868667)
('神功', 0.004579583736336995)
('左子穆', 0.0045430503537477055)
('黄眉僧', 0.0045430503537477055)
('乔帮主', 0.0045430503537477055)
('白世镜', 0.0045430503537477055)
('生死', 0.004498063375896364)
('武林中', 0.0044923057583182505)
('寻思', 0.00447152818702702)
('各人', 0.004466746322162442)
('轻轻', 0.004433029813232585)
('身前', 0.004427549073567679)
('公冶乾', 0.004427549073567679)
('公主', 0.004400147549004734)
('怒道', 0.004389048646841003)
('大汉', 0.004388592534806736)
('绝技', 0.004365699490237546)
('此人', 0.004363703049840326)
('中原', 0.004360755121830537)
('先生', 0.004336412709961934)
('六脉', 0.004312047793387652)
('段氏', 0.004308200996405913)
('神剑', 0.004307803094106471)
('全身', 0.004302084495033718)
